Year,Region,Drought_gdp,Extreme temperature_gdp,Flood_gdp,Storm_gdp,Wildfire_gdp,Drought_affected,Extreme temperature_affected,Flood_affected,Storm_affected,Wildfire_affected,Drought_deaths,Extreme temperature_deaths,Flood_deaths,Storm_deaths,Wildfire_deaths,Greenhouse gas emissions,Yearly average,Yearly anomaly average,Period,Total_Deaths,Total_Affected,Total_GDP_Loss
1984,South America,0.0,0.0,0.16296615695974814,0.0,0.0,0,0,2334500,323373,0,0,0,313,137,0,11.312353,19.72822125,-0.7330344491666666,1975-1999,450,2657873,0.16296615695974814
1985,Africa,0.0,0.0,0.0012683453237410072,0.0005310006540222368,0.0,500000,0,1114972,35000,1500,0,0,104,2,4,4.3889017,23.78649675,-0.7480788158333334,1975-1999,110,1651472,0.001799345977763244
1985,Asia,0.0,0.0009953944249549635,0.011159128188110363,0.0017044396510856167,0.0,0,0,14730307,4240763,0,0,328,3216,16687,13,3.8870063,19.497785166666667,-1.0069385816666665,1975-1999,20244,18971070,0.013858962264150943
1985,Europe,0.0,0.0,0.0003026552549112107,1.9651582033224384e-05,0.0009335242780604509,0,7085,10030,0,430,0,128,352,3,23,14.685941,7.745101424999999,-1.9892624133333336,1975-1999,506,17545,0.001255831115004886
1985,North America,0.0,0.0,0.00010245081506464305,0.042668114109050026,0.0,0,0,9445,1521461,0,0,0,524,386,0,18.71694,24.703325250000002,-0.987795828,1975-1999,910,1530906,0.04277056492411467
1985,Oceania,0.0,0.0,0.0,0.05062802994852597,0.004526345343940103,0,0,270,240150,100,0,0,4,68,11,27.22896,24.439978666666665,-0.04293123958333333,1975-1999,83,240520,0.05515437529246607
1985,South America,0.042690915223746344,0.0,0.11344895435124804,0.0,0.0,0,0,1833475,3000,800,0,0,176,22,0,12.079888,19.645926083333332,-0.6625278783333334,1975-1999,198,1837275,0.15613986957499437
1986,Africa,0.0,0.0,0.0,0.014038129496402877,0.0,850000,0,36723,84309,0,0,0,23,99,0,4.1593056,23.965822666666668,-0.7225286275,1975-1999,122,971032,0.014038129496402877
1986,Asia,0.0,0.0,0.023626270503460698,0.030407957239025316,0.0,1000,30000,11041901,14393839,0,84,2,1334,1685,0,4.0203953,19.332704,-0.815762345,1975-1999,3105,25466740,0.054034227742486014
1986,Europe,0.0048217609596657345,0.0,0.00019286989924857635,0.0010125686558614415,0.0,0,0,8500,1900,2050,0,0,3,11,20,14.609483,8.0453932,-1.3296479786666666,1975-1999,34,12450,0.006027199514775753
1986,North America,0.0,0.01407627318718381,0.0011305283867341202,0.000575115233277122,0.0,0,0,234012,4480,2000,0,48,237,13,0,18.513968,24.660360833333332,-0.6642687533333332,1975-1999,298,240492,0.015781916807195054
1986,Oceania,0.0,0.0,0.013311792232101076,0.030675432849789425,0.0,0,0,216830,158512,0,0,0,28,110,0,23.883532,24.199543374999998,-0.09865228333333335,1975-1999,138,375342,0.0439872250818905
1986,South America,0.0,0.0,0.004401933888014391,0.00016089498538340453,0.0,0,0,1044953,59806,0,0,0,158,21,0,11.905169,19.792590708333336,-0.5507958791666666,1975-1999,179,1104759,0.004562828873397796
1987,Africa,0.0,0.0,0.06909113799869196,0.0009930673642903859,0.0,12987267,0,195000,57714,0,1017,0,524,65,0,4.1084843,24.623272749999998,-0.04012981916666668,1975-1999,1606,13239981,0.07008420536298235
1987,Asia,0.0,0.0,0.011837181188963687,0.0054883639897601215,0.000719827913150659,303202100,7,49499889,5764441,56313,300,140,5468,2489,191,3.918444,19.260654,-1.0000970958333333,1975-1999,8588,358522750,0.018045373091874466
1987,Europe,0.0,0.0,0.022326289719311252,0.04633262796104728,0.0,0,0,70000,4600,0,0,1000,142,135,0,14.552625,8.053851241666667,-2.037397168333333,1975-1999,1277,74600,0.06865891768035853
1987,North America,0.0,0.0,0.00171867341202923,0.005027993254637437,0.0,73000,0,42637,3928,0,0,80,143,180,0,19.004929,25.151389249999998,0.046629166,1975-1999,403,119565,0.0067466666666666664
1987,Oceania,0.0,0.0,0.0,0.010547402901263454,0.0,0,0,700,55804,130,0,0,0,59,0,22.855623,24.0765405,-0.09761269916666665,1975-1999,59,56634,0.010547402901263454
1987,South America,0.0,0.0,0.014837351023161681,0.0006208005396896784,0.006208095345176524,750000,0,279262,1000,152752,0,0,493,1,0,11.437925,20.343740958333335,-0.10457976866666667,1975-1999,494,1183014,0.021666246908027882
1988,Africa,0.0,0.0,0.000884761281883584,1.3603662524525835e-05,0.0,3553500,0,3163247,15307,0,200,0,450,161,0,4.009989,24.222592333333335,-0.3506399761666667,1975-1999,811,6732054,0.0008983649444081099
1988,Asia,0.005928408552194937,0.0,0.03540592111500901,0.0026157035175879396,0.0,50536000,200,95554024,18548901,0,1400,450,7006,2524,0,3.9601798,19.429927583333335,-0.3542803299999999,1975-1999,11380,164639125,0.04395003318479189
1988,Europe,0.0,0.0,0.004469073693432624,0.0,0.0,0,0,48780,0,0,0,94,16,0,0,14.49233,9.074051316666667,-0.69730531675,1975-1999,110,48780,0.004469073693432624
1988,North America,0.006038743676222597,4.4744238336143905e-06,0.00018220629567172568,0.014461562675660483,0.0,0,0,1358748,2363022,0,0,23,111,606,0,19.311071,25.091644000000002,-0.39915960933333333,1975-1999,740,3721770,0.02068698707138842
1988,Oceania,0.0,0.0,0.0,0.0025343004211511463,0.0,0,0,1958,6700,0,0,0,17,7,0,22.685019,24.803344666666668,0.1600222610833333,1975-1999,24,8658,0.0025343004211511463
