date,tmax,tmin,tmed
03/1978,16.3,6.38,11.34
04/1978,15.93,7.37,11.65
05/1978,19.38,9.62,14.5
06/1978,22.17,11.95,17.06
07/1978,28.66,14.22,21.44
08/1978,29.05,14.37,21.71
09/1978,29.67,15.72,22.7
10/1978,22.34,10.43,16.38
11/1978,17.23,7.5,12.37
12/1978,14.44,8.23,11.34
01/1979,13.17,6.23,9.7
02/1979,13.75,6.92,10.34
03/1979,14,5.66,9.83
04/1979,17.26,7.27,12.27
05/1979,21.13,9.59,15.36
06/1979,26.33,13.39,19.86
07/1979,28.72,16.07,22.39
08/1979,28.75,14.77,21.76
09/1979,26.32,13.47,19.89
10/1979,18.75,10.94,14.84
11/1979,17.18,6.43,11.8
12/1979,14.22,5.7,9.96
01/1980,13.18,5.05,9.11
02/1980,14.83,5.96,10.39
03/1980,15.6,6.88,11.24
04/1980,19.62,8.28,13.95
05/1980,19.84,10.21,15.03
06/1980,24.63,12.83,18.73
07/1980,27.89,13.95,20.92
08/1980,29.37,16.01,22.69
09/1980,28.07,14.53,21.3
10/1980,21.59,11.19,16.39
11/1980,15.87,7.1,11.48
12/1980,13.15,2.96,8.05
01/1981,14.52,2.99,8.75
02/1981,14.7,3.5,9.1
03/1981,17.17,8.24,12.71
04/1981,16.93,7.85,12.39
05/1981,19.62,9.55,14.59
06/1981,27.96,15.09,21.52
07/1981,29.46,15.75,22.61
08/1981,29.1,15.73,22.41
09/1981,26.24,14.58,20.41
10/1981,21.92,11.63,16.78
11/1981,21.18,9.05,15.12
12/1981,15.02,7.6,11.31
01/1982,14.31,6.09,10.2
02/1982,14.69,6.12,10.41
03/1982,17.72,6.39,12.05
04/1982,20.09,8.73,14.41
05/1982,22.34,10.52,16.43
06/1982,25.16,13.46,19.31
07/1982,26.19,14.49,20.34
08/1982,29.01,15.63,22.32
09/1982,26.12,14.97,20.55
10/1982,20.08,10.19,15.13
11/1982,16.05,7.8,11.93
12/1982,12.95,5.61,9.28
01/1983,13.77,3.46,8.61
02/1983,12.68,4.2,8.44
03/1983,18.82,7.79,13.3
04/1983,16.65,7.8,12.22
05/1983,18.39,9.14,13.77
06/1983,26.54,14.37,20.45
07/1983,25.95,14.87,20.41
08/1983,27.14,15.39,21.27
09/1983,28.52,14.99,21.75
10/1983,23.38,11.44,17.41
11/1983,17.96,11.38,14.67
12/1983,14.74,5.52,10.13
01/1984,12.78,4.75,8.77
02/1984,13.98,3.65,8.81
03/1984,14.54,4.86,9.7
04/1984,20.48,10.76,15.62
05/1984,17.37,8.29,12.83
06/1984,24.41,13.55,18.98
07/1984,28.4,14.85,21.63
08/1984,28.54,14.83,21.68
09/1984,26.4,13.09,19.74
10/1984,21.52,10.5,16.01
11/1984,15.67,8.71,12.19
12/1984,13.99,6.33,10.16
01/1985,11.79,2.58,7.18
02/1985,14.87,7.96,11.41
03/1985,15.29,5.47,10.38
04/1985,18.87,8.78,13.82
05/1985,19.49,9.42,14.45
06/1985,25.02,13.57,19.3
07/1985,28.65,15.79,22.22
08/1985,28.8,14.45,21.63
09/1985,29.84,15.93,22.88
10/1985,24.67,11.51,18.09
11/1985,16.08,7.42,11.75
12/1985,14.09,5.9,10
01/1986,12.71,4.29,8.5
02/1986,12.73,5.61,9.17
03/1986,15.58,6.06,10.82
04/1986,14.84,5.42,10.13
05/1986,22.67,10.88,16.78
06/1986,25.91,12.98,19.45
07/1986,30.13,15.89,23.01
08/1986,27.1,14.12,20.61
09/1986,25.66,15.55,20.61
10/1986,22.44,12.47,17.46
11/1986,16.8,7.02,11.91
12/1986,13.78,4.75,9.27
01/1987,12.79,4.3,8.54
02/1987,14.11,5.47,9.79
03/1987,18.12,7.65,12.89
04/1987,18.86,9.46,14.16
05/1987,22.78,10.76,16.77
06/1987,26.04,13.7,19.87
07/1987,28.85,16.3,22.58
08/1987,29.43,16.68,23.05
09/1987,28.72,16.78,22.75
10/1987,18.5,10.97,14.73
11/1987,16.54,8.09,12.31
12/1987,14.72,8.43,11.57
01/1988,13.2,6.64,9.92
02/1988,14.04,5.33,9.68
03/1988,17.88,6.16,12.02
04/1988,17.57,8.63,13.1
05/1988,19.66,10.76,15.21
06/1988,22.95,13.69,18.32
07/1988,27.11,15.18,21.14
08/1988,28.74,15,21.87
09/1988,28.82,14.12,21.47
10/1988,21.86,11.88,16.87
11/1988,17.5,9.81,13.66
12/1988,14.02,4.16,9.09
01/1989,13.6,3.58,8.59
02/1989,15.6,5.82,10.71
03/1989,18.33,7.45,12.89
04/1989,16,7.47,11.73
05/1989,23.31,12.07,17.69
06/1989,26.73,14.47,20.6
07/1989,31.72,17.54,24.63
08/1989,29.06,16.92,22.99
09/1989,26.44,13.85,20.14
10/1989,23.58,13.22,18.4
11/1989,16.48,10.06,13.27
12/1989,14.94,9.99,12.46
01/1990,12.61,4.85,8.73
02/1990,16.45,7.94,12.2
03/1990,18.66,8,13.33
04/1990,17.5,8,12.75
05/1990,23.83,12.02,17.92
06/1990,25.77,13.99,19.88
07/1990,31.23,17.28,24.26
08/1990,30.76,16.9,23.83
09/1990,27.24,15.53,21.38
10/1990,20.28,12.07,16.18
11/1990,16.21,6.89,11.55
12/1990,12.48,5.19,8.84
01/1991,12.63,4,8.32
02/1991,12.61,4,8.3
03/1991,15.7,7.85,11.77
04/1991,18.25,7.51,12.88
05/1991,23.89,10.81,17.35
06/1991,26.78,13.88,20.33
07/1991,30.03,16.68,23.36
08/1991,31,17.33,24.16
