,Region,Year,Droughts,Floods,Storms,Extreme temperatures,Wildfires
302,Oceania,2006,0.0,0.0013448234,0.078990265,,0.013361525
303,Oceania,2007,,0.6236330800000001,0.005847902,,
304,Oceania,2008,,0.0,0.44705557999999995,,
305,Oceania,2009,,0.0080752645,0.23488700585,0.0,0.13997126
306,Oceania,2010,,0.057695965,0.20874224000000002,,
307,Oceania,2011,0.0,0.43495548,0.0,,0.0038609745
308,Oceania,2012,,0.0823926475,0.1083164473,,
309,Oceania,2013,0.21543108,0.077765845,0.010470526,,0.02320681
310,Oceania,2014,,0.0,0.16330001,0.0,0.008513448
311,Oceania,2015,0.0,0.029601205,0.07329998,,0.025975056
312,Oceania,2016,0.0,0.0020715308,0.04143062,,0.009114736
313,Oceania,2017,,0.03431363,0.009673707,,0.0015087705
314,Oceania,2018,0.08404485,0.00629583905,0.0,0.0,
315,Oceania,2019,,0.071801745,0.0,0.0,0.09626168
316,Oceania,2020,,0.046941843,0.101624945,,0.02716392715
317,Oceania,2021,0.0,0.129886055,0.01181205,,0.0077084373
318,Oceania,2022,0.0,0.49950963,0.2515342,,
319,Oceania,2023,0.0,0.3722644,0.0,,
320,Oceania,2024,0.0,0.014838546,0.0,,
335,South America,1975,,0.1972856,0.0,0.4643835,
336,South America,1976,,0.0,,,
337,South America,1977,0.0,0.0034376278,0.0238216815,,
338,South America,1978,1.1484001,0.0,0.0,,
339,South America,1979,0.0,0.0,,,
340,South America,1980,,0.0,0.0,,
341,South America,1981,,0.013740655,,,
342,South America,1982,,0.0,0.0,,
343,South America,1983,0.875167,1.0508035,0.0,0.0,
344,South America,1984,,1.0456663,0.0,,
345,South America,1985,0.3087066,0.0474203675,0.0,,0.0
346,South America,1986,,0.0,0.0,,
347,South America,1987,0.0,0.0,0.009190257,,0.09190257
348,South America,1988,0.5263602,0.0,0.0637551,0.0,
349,South America,1989,,0.0,0.0,,
350,South America,1990,0.068155005,0.0,,,
351,South America,1991,0.5231175,0.00029194175,,0.0,0.0
352,South America,1992,0.69509506,0.007861254,0.0,,0.25784883
353,South America,1993,,0.034044295,0.0074953204,,0.0
354,South America,1994,0.0,0.0,0.013323957,0.090412565,0.0
355,South America,1995,,0.0,0.0,0.006773193,
356,South America,1996,,0.0,,,
357,South America,1997,0.6487115,0.00987081815,0.0,,0.0
358,South America,1998,0.0060693785,0.05399287,0.0099280335,,0.004168062
359,South America,1999,0.011603277,0.0,0.000289757825,,0.0
360,South America,2000,0.0,0.0,0.0,0.0,0.0
361,South America,2001,0.0,0.0040179745,0.0,0.0,0.0
362,South America,2002,0.0,0.0,0.0,0.0,0.11385624
363,South America,2003,0.09405349,0.0,0.0,0.0,0.0
364,South America,2004,0.0,0.0,0.0261471325,0.0,
365,South America,2005,0.0,0.006868107,0.0,,0.0
366,South America,2006,0.0,0.0,,,
